Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
61,3.0,0.0,0.0,314.0,1.0,314.0,10358.0,0.1,120.8700000000001,0.0,0.0,2626.7723433971405,,,,,,,,,,,,,,,,,,,,,48.81663229791047,28.13008108121641,105.7529776608001,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,607.0,2.0,293.0,10651.0,0.1,97.67000000000002,0.0,0.0,2654.608514070511,,,,,,,,,,,,,,,,,,,,,35.38645076655868,27.153868924668984,87.47663572020305,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,796.0,3.0,189.0,10840.0,0.1,74.32000000000006,0.0,0.0,2672.768762111664,,,,,,,,,,,,,,,,,,,,,27.957975216595095,20.909419290343294,69.17422195374914,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,1039.0,4.0,243.0,11083.0,0.1,76.47000000000018,0.0,0.0,2695.746905565262,,,,,,,,,,,,,,,,,,,,,30.991575642462948,18.371855399278367,69.07713230636196,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,1105.0,5.0,66.0,11149.0,0.1,22.260000000000034,0.0,0.0,2702.0830636024475,,,,,,,,,,,,,,,,,,,,,7.079410288818148,6.3538465902989945,21.836409904336783,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,1252.0,6.0,147.0,11296.0,0.1,40.66000000000003,0.0,0.0,2716.2757756710052,,,,,,,,,,,,,,,,,,,,,15.619611114028585,10.791915807915036,38.440760245969486,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,1319.0,7.0,67.0,11363.0,0.1,23.870000000000015,0.0,0.0,2722.7202479839325,,,,,,,,,,,,,,,,,,,,,8.626700663192578,7.701730988699026,23.338665046995047,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,1374.0,8.0,55.0,11418.0,0.1,15.859999999999982,0.0,0.0,2728.281976222992,,,,,,,,,,,,,,,,,,,,,4.859124331804845,4.604495299729661,15.62398049876777,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,1402.0,9.0,28.0,11446.0,0.1,7.359999999999996,0.0,0.0,2731.233766555786,,,,,,,,,,,,,,,,,,,,,1.8454077460191056,2.2221187261097963,7.3229671945333354,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1532.0,10.0,130.0,11576.0,0.1,28.870000000000026,0.0,0.0,2743.5422558784485,,,,,,,,,,,,,,,,,,,,,10.656096260374559,7.926578654275523,27.539759465322483,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
